status,difficulty,problem,grouping,Q_attemp1,Q_attemp2,Q_attemp3,Quoc Notes,Thien Note,"T_attemp1 ",T_attemp2,T_attemp3
Not started,,meta_leetcode_problems_list,,,,,,,,,
Not started,,Screenshot 2025-01-07 at 9.24.39 AM,,,,,,,,,
Not started,medium,528 Random Pick with Weight,,,,,,,,,
Done,easy,408 Valid Word Abbreviation,two pointers,"January 7, 2025 3:45 PM (GMT-5) → 5:00 PM",,,,,,,
Not started,,1249 Minimum Remove to Make Valid Parentheses,,,,,,,,,
Not started,,680 Valid Palindrome II,,,,,,,,,
Not started,,162 Find Peak Element,,,,,,,,,
Not started,,1004 Max Consecutive Ones III,,,,,,,,,
Not started,,"50 Pow(x, n)",,,,,,,,,
Not started,,215 Kth Largest Element in an Array,,,,,,,,,
Not started,,347 Top K Frequent Elements,,,,,,,,,
Not started,,560 Subarray Sum Equals K,,,,,,,,,
Done,medium,8. String to Integer (atoi),array & hashing,"January 7, 2025 12:00 AM (GMT-5) → 12:30 AM",,,,,,,
Done,medium,2405. Optimal Partition of String,,"January 10, 2025 4:00 AM (GMT-5) → 4:30 AM",,,,,,,